label,file_size_bytes,chunk_size,timeout_seconds,loss_rate,window_size,completion_time_seconds,original_packets,datagrams_sent,ack_received,timeout_count,retransmission_count,failed_packets,avg_rtt_ms,integrity_ok,client_log,server_log,throughput_bps,goodput_bps,retransmission_rate,observed_loss_rate,scenario,variant
packet_size__512B,131072,512,0.2,0.03,8,1.338672,258,266,258,8,8,0,5.216,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\01_packet_size__512B_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\01_packet_size__512B_server.jsonl,813893.172,783295.684,0.031008,0.030075,packet_size,512B
packet_size__1024B,131072,1024,0.2,0.03,8,0.60756,130,132,130,2,2,0,5.34,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\02_packet_size__1024B_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\02_packet_size__1024B_server.jsonl,1779814.339,1725880.571,0.015385,0.015152,packet_size,1024B
packet_size__2048B,131072,2048,0.2,0.03,8,0.548984,66,69,66,3,3,0,5.584,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\03_packet_size__2048B_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\03_packet_size__2048B_server.jsonl,2059251.271,1910030.165,0.045455,0.043478,packet_size,2048B
timeout__50ms,131072,1024,0.05,0.08,8,0.639601,130,142,130,12,12,0,5.311,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\04_timeout__50ms_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\04_timeout__50ms_server.jsonl,1818733.867,1639422.077,0.092308,0.084507,timeout,50ms
timeout__150ms,131072,1024,0.15,0.08,8,1.057849,130,142,130,12,12,0,5.171,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\05_timeout__150ms_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\05_timeout__150ms_server.jsonl,1099650.328,991234.099,0.092308,0.084507,timeout,150ms
timeout__300ms,131072,1024,0.3,0.08,8,1.197102,130,142,130,12,12,0,4.422,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\06_timeout__300ms_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\06_timeout__300ms_server.jsonl,971733.403,875928.701,0.092308,0.084507,timeout,300ms
loss__0pct,131072,1024,0.2,0.0,8,0.531417,130,130,130,0,0,0,6.056,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\07_loss__0pct_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\07_loss__0pct_server.jsonl,2004000.625,1973169.846,0.0,0.0,loss,0pct
loss__5pct,131072,1024,0.2,0.05,8,0.905384,130,136,130,6,6,0,6.262,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\08_loss__5pct_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\08_loss__5pct_server.jsonl,1230540.853,1158156.097,0.046154,0.044118,loss,5pct
loss__15pct,131072,1024,0.2,0.15,8,1.467209,130,161,130,31,31,0,4.002,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\09_loss__15pct_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\09_loss__15pct_server.jsonl,898925.784,714673.915,0.238462,0.192547,loss,15pct
file_size__32KB,32768,1024,0.2,0.05,8,0.207416,34,34,34,0,0,0,9.979,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\10_file_size__32KB_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\10_file_size__32KB_server.jsonl,1342847.225,1263856.212,0.0,0.0,file_size,32KB
file_size__128KB,131072,1024,0.2,0.05,8,0.742431,130,136,130,6,6,0,6.715,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\11_file_size__128KB_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\11_file_size__128KB_server.jsonl,1500626.994,1412354.818,0.046154,0.044118,file_size,128KB
file_size__384KB,393216,1024,0.2,0.05,8,2.525107,386,410,386,24,24,0,5.303,True,C:\Users\kalra\OneDrive\Desktop\Network\logs\12_file_size__384KB_client.jsonl,C:\Users\kalra\OneDrive\Desktop\Network\logs\12_file_size__384KB_server.jsonl,1330129.773,1245780.08,0.062176,0.058537,file_size,384KB
